2025-08-26 21:53:21 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 21:53:21 | INFO     | DF | Running on device cpu
2025-08-26 21:53:21 | INFO     | DF | Model loaded
2025-08-26 22:04:50 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 22:04:50 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 22:04:50 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 22:04:50 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 22:04:50 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-26 22:04:50 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 22:04:50 | INFO     | DF | Running on device cpu
2025-08-26 22:04:50 | INFO     | DF | Model loaded
2025-08-26 22:05:49 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 22:05:49 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 22:05:49 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 22:05:49 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 22:05:49 | INFO     | DF | Initializing model `deepfilternet3`
2025-08-26 22:05:49 | INFO     | DF | Found checkpoint C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3\checkpoints\model_120.ckpt.best with epoch 120
2025-08-26 22:05:49 | INFO     | DF | Running on device cpu
2025-08-26 22:05:49 | INFO     | DF | Model loaded
2025-08-26 22:06:49 | INFO     | DF | Running on torch 2.8.0+cpu
2025-08-26 22:06:49 | INFO     | DF | Running on host DESKTOP-Q7018BG
2025-08-26 22:06:50 | INFO     | DF | Loading model settings of DeepFilterNet3
2025-08-26 22:06:50 | INFO     | DF | Using DeepFilterNet3 model at C:\Users\dell\AppData\Local\DeepFilterNet\DeepFilterNet\Cache\DeepFilterNet3
2025-08-26 22:06:50 | INFO     | DF | Initializing model `deepfilternet3`
